# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:46:22.857
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
2.055047,1.055,0.807,0.224,1.347
2.057724,1.211,0.621,0.229,1.380
2.059731,1.243,0.573,0.227,1.387
2.061739,1.275,0.526,0.223,1.397
2.063916,1.304,0.481,0.218,1.407
2.065803,1.329,0.438,0.216,1.416
2.068044,1.350,0.400,0.213,1.424
2.069605,1.368,0.368,0.212,1.432
2.077261,1.382,0.337,0.210,1.438
2.079964,1.406,0.276,0.211,1.449
2.081645,1.403,0.278,0.214,1.446
2.083757,1.397,0.282,0.215,1.441
2.085619,1.383,0.295,0.216,1.430
2.088119,1.366,0.314,0.221,1.419
2.089617,1.343,0.341,0.226,1.404
2.091767,1.318,0.372,0.230,1.389
2.093672,1.288,0.409,0.235,1.372
2.099230,1.252,0.452,0.240,1.352
2.099361,1.212,0.501,0.242,1.334
2.099710,1.170,0.552,0.244,1.316
2.101516,1.123,0.609,0.245,1.301
2.103795,1.072,0.665,0.247,1.285
2.105468,1.017,0.725,0.249,1.274
2.107560,0.960,0.790,0.248,1.268
2.109494,0.900,0.856,0.245,1.266
2.111740,0.840,0.924,0.240,1.271
2.113566,0.777,0.991,0.235,1.281
2.115703,0.714,1.059,0.226,1.297
2.122890,0.648,1.125,0.217,1.317
2.125388,0.404,1.370,0.166,1.438
2.127592,0.346,1.419,0.149,1.469
2.129332,0.293,1.464,0.132,1.499
2.131401,0.244,1.505,0.113,1.529
2.133585,0.197,1.538,0.093,1.553
2.135317,0.156,1.568,0.074,1.577
2.138097,0.117,1.593,0.054,1.598
2.146418,0.082,1.618,0.034,1.620
2.149326,-0.057,1.672,-0.064,1.674
2.151264,-0.073,1.668,-0.083,1.671
2.153257,-0.086,1.661,-0.102,1.667
2.155249,-0.096,1.648,-0.120,1.656
2.157285,-0.102,1.634,-0.137,1.643
2.159132,-0.103,1.612,-0.153,1.623
2.168517,-0.103,1.589,-0.170,1.601
2.171128,-0.026,1.432,-0.243,1.453
2.173153,0.002,1.397,-0.257,1.420
2.175201,0.035,1.360,-0.272,1.387
2.177227,0.069,1.318,-0.287,1.351
2.179266,0.105,1.272,-0.303,1.312
2.181095,0.143,1.225,-0.317,1.273
2.189585,0.179,1.178,-0.330,1.236
2.193071,0.294,0.952,-0.364,1.061
2.195010,0.296,0.913,-0.364,1.027
2.197089,0.288,0.876,-0.362,0.991
2.199182,0.266,0.842,-0.361,0.954
2.201055,0.240,0.806,-0.360,0.915
2.202991,0.204,0.770,-0.357,0.872
